index,City,Articles,Tweets
0,patna,254,5345
1,ahmedabad,201,7530
2,delhi,201,148768
3,mumbai,192,105133
4,hyderabad,187,43459
5,jaipur,165,11125
6,pune,136,23814
7,kolkata,132,19520
8,chandigarh,117,9604
9,nagpur,115,4805
10,lucknow,103,10523
11,dehradun,98,2403
12,goa,85,5360
13,nashik,65,1192
14,allahabad,64,1136
15,visakhapatnam,55,1600
16,kanpur,53,2100
17,surat,47,3888
18,varanasi,44,2927
19,aurangabad,43,1138
20,rajkot,43,806
21,vijayawada,42,1609
22,bhopal,40,3380
23,vadodara,40,1866
24,coimbatore,38,2905
25,agra,35,1056
26,kochi,33,1426
27,ludhiana,32,1493
28,meerut,31,963
29,bareilly,26,746
30,kolhapur,26,336
31,bengaluru,24,45651
32,chennai,21,34580
33,madurai,17,1137
34,thiruvananthapuram,14,731
35,trichy,13,0
36,gurgaon,10,25060
37,jodhpur,10,1347
38,ranchi,9,2101
39,amaravati,7,0
40,ajmer,6,389
41,thane,6,1802
42,navi-mumbai,6,429
43,noida,5,12203
44,shimla,4,1342
45,amritsar,4,779
46,udaipur,4,1122
